,lat,lon,00:00Z 27-Apr-2024,00:00Z 28-Apr-2024,00:00Z 29-Apr-2024,00:00Z 30-Apr-2024,00:00Z 01-May-2024,00:00Z 02-May-2024,00:00Z 03-May-2024,00:00Z 04-May-2024,00:00Z 05-May-2024
249,4.173439,96.78308,33.01,6.73,39.48,10.77,24.02,1.02,39.05,14.88,53.76
250,4.173439,96.86621,26.54,4.24,1.9,11.02,10.38,1.44,10.82,10.69,22.05
251,4.173439,96.94935,31.17,9.42,5.37,4.82,17.34,7.42,17.86,17.53,40.56
252,4.173439,97.032486,97.11,7.15,4.66,9.36,25.17,21.24,21.74,19.24,25.82
253,4.173439,97.11562,50.71,35.81,16.55,9.44,60.65,18.71,51.97,54.58,28.19
254,4.173439,97.19876,45.1,42.88,9.38,9.39,46.89,19.28,64.26,25.95,60.87
255,4.173439,97.28189,38.3,42.23,8.11,28.35,52.97,1.68,70.24,17.86,74.11
256,4.173439,97.36503,3.56,5.75,7.39,57.43,31.89,33.12,73.19,27.11,55.19
257,4.173439,97.448166,3.5,8.8,1.44,93.8,4.65,3.78,29.27,67.92,47.8
258,4.173439,97.5313,6.13,1.95,4.97,80.24,4.37,1.74,32.85,27.77,22.3
259,4.173439,97.61444,0.03,2.49,5.6,96.33,4.46,0.55,50.9,66.32,8.96
260,4.173439,97.69757,1.21,0.03,0.04,100.59,3.37,3.93,104.91,13.75,25.5
261,4.173439,97.78071,9.76,2.65,0.02,62.54,1.57,1.31,145.37,57.2,3.07
262,4.173439,97.863846,4.51,2.38,0.0,35.14,0.0,1.07,115.57,31.77,1.17
263,4.173439,97.94698,3.38,4.01,0.0,71.21,0.0,0.0,98.76,20.72,0.88
264,4.173439,98.03012,11.52,0.76,0.0,55.16,0.12,0.0,71.42,6.46,0.0
265,4.173439,98.11325,0.2,0.0,0.0,37.35,0.0,0.0,61.34,2.88,0.0
266,4.173439,98.19639,0.49,0.0,0.0,11.58,0.0,0.0,40.28,12.85,0.05
267,4.173439,98.279526,0.01,0.0,0.0,10.66,0.0,0.0,8.34,17.26,0.01
268,4.173439,98.36266,0.0,0.0,0.0,3.07,0.0,0.01,3.36,2.69,0.0
269,4.173439,98.4458,0.0,0.0,0.0,0.01,0.0,0.05,4.89,3.89,1.61
270,4.173439,98.52893,0.05,0.0,0.0,0.0,0.46,0.0,7.65,1.9,1.61
271,4.173439,98.612076,0.19,0.0,0.0,0.0,0.84,0.15,4.81,0.5,3.39
272,4.173439,98.695206,1.52,0.1,0.95,0.68,2.97,0.13,7.55,4.07,2.96
273,4.173439,98.77834,1.21,0.42,0.65,0.39,6.68,0.27,3.06,9.98,4.53
274,4.173439,98.86148,2.09,0.0,0.65,3.03,10.3,1.1,7.1,12.07,3.25
