,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
243,4.173439,96.28426,1.87,1.44,0.0,0.09,15.57,2.61,1.08,3.01
244,4.173439,96.36739,6.58,4.6,0.2,0.23,12.91,7.67,15.57,0.32
245,4.173439,96.45053,11.59,7.43,14.57,5.03,11.07,17.1,60.67,11.42
246,4.173439,96.53367,26.99,1.88,3.28,11.19,26.31,28.59,18.53,16.51
247,4.173439,96.616806,62.64,17.97,14.16,1.73,59.72,12.0,85.12,8.63
248,4.173439,96.69994,12.24,17.91,5.66,4.71,38.11,78.44,42.44,62.19
249,4.173439,96.78308,12.15,14.48,9.88,1.78,29.03,32.54,19.04,31.54
250,4.173439,96.86621,7.22,12.95,0.93,0.87,13.86,9.33,22.59,19.43
251,4.173439,96.94935,12.5,19.12,0.25,2.85,29.5,5.72,12.46,8.53
252,4.173439,97.032486,32.49,6.21,2.43,44.91,1.45,6.58,3.58,8.84
253,4.173439,97.11562,22.55,0.99,9.21,33.41,0.23,1.36,4.52,2.07
254,4.173439,97.19876,27.28,3.54,12.2,5.35,3.5,0.48,19.89,6.94
255,4.173439,97.28189,59.5,53.17,3.15,6.01,21.52,1.45,22.68,11.52
256,4.173439,97.36503,42.51,46.57,0.91,5.73,11.66,8.2,10.97,16.19
257,4.173439,97.448166,9.68,3.41,0.85,0.28,20.03,8.69,0.96,0.29
258,4.173439,97.5313,16.69,0.94,1.76,1.98,17.37,1.7,7.77,0.1
259,4.173439,97.61444,36.92,24.52,6.91,1.3,3.96,0.31,0.99,0.12
260,4.173439,97.69757,28.77,18.4,11.44,13.93,1.46,0.18,10.39,0.12
261,4.173439,97.78071,27.72,4.98,34.43,6.66,1.46,3.04,12.93,0.0
262,4.173439,97.863846,34.13,13.15,0.82,12.6,1.16,0.01,1.78,0.0
263,4.173439,97.94698,1.21,0.68,0.0,5.29,0.35,3.42,0.0,0.0
264,4.173439,98.03012,0.06,0.44,0.0,0.22,0.06,0.0,0.0,0.0
265,4.173439,98.11325,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0
266,4.173439,98.19639,0.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0
267,4.173439,98.279526,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
268,4.173439,98.36266,0.03,0.03,0.0,0.0,0.01,0.0,0.0,0.0
269,4.173439,98.4458,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,4.173439,98.52893,0.03,0.09,0.0,0.0,0.04,0.0,0.06,0.0
271,4.173439,98.612076,0.0,0.0,0.02,0.0,0.01,0.0,0.12,0.0
272,4.173439,98.695206,0.02,0.0,0.86,0.11,0.0,0.0,0.04,0.0
273,4.173439,98.77834,0.02,0.0,1.57,0.23,0.0,0.0,0.95,0.0
274,4.173439,98.86148,0.0,0.0,4.63,1.03,0.21,0.0,0.99,5.14
275,4.173439,98.94461,0.0,0.73,53.02,11.15,0.96,0.04,4.86,2.9
276,4.173439,99.027756,0.11,2.49,2.63,0.8,1.08,0.23,6.56,58.03
277,4.173439,99.110886,0.83,1.06,0.01,3.26,0.24,0.6,16.47,5.44
278,4.173439,99.19402,0.33,1.96,0.76,0.08,0.07,0.05,18.88,8.67
279,4.173439,99.27716,3.15,0.42,0.19,0.04,0.21,1.99,46.79,0.11
280,4.173439,99.36029,2.99,0.62,0.05,0.77,0.68,7.61,30.04,0.24
281,4.173439,99.443436,7.79,0.06,0.0,0.14,6.96,0.29,4.66,0.0
282,4.173439,99.526566,6.91,0.18,0.15,0.13,2.93,5.03,3.49,0.0
283,4.173439,99.6097,7.49,3.85,0.0,2.89,0.24,4.0,0.4,1.57
284,4.173439,99.69284,21.89,0.53,0.63,2.26,0.04,0.49,0.07,0.25
285,4.173439,99.77597,31.99,0.24,0.29,0.12,0.02,0.2,0.01,0.0
286,4.173439,99.8591,29.08,0.2,0.08,0.0,0.0,0.27,0.05,0.0
287,4.173439,99.942245,2.95,1.98,0.05,0.01,0.02,1.53,0.05,0.0
288,4.173439,100.02538,4.53,0.32,0.0,0.01,0.23,4.41,0.0,0.0
289,4.173439,100.10852,1.03,0.05,0.05,0.41,0.01,2.94,0.97,0.0
290,4.173439,100.19165,1.44,0.39,0.0,0.27,0.0,0.78,0.17,0.0
291,4.173439,100.27478,0.93,1.63,0.5,0.01,0.08,0.01,4.65,0.05
292,4.173439,100.357925,0.6,3.53,1.11,0.23,0.0,0.17,0.01,0.12
293,4.173439,100.44106,1.25,0.24,1.35,0.31,0.0,0.22,0.0,1.89
294,4.173439,100.5242,2.03,0.0,0.01,0.04,0.0,3.63,0.0,1.05
295,4.173439,100.60733,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
296,4.173439,100.69046,0.02,0.0,0.0,0.0,0.0,0.0,0.0,5.55
297,4.173439,100.773605,0.02,0.02,0.0,0.0,0.0,0.0,0.0,14.29
298,4.173439,100.85674,2.46,1.04,0.0,0.0,0.0,0.21,0.46,13.3
299,4.173439,100.93988,2.86,0.16,0.0,0.0,0.0,12.84,0.53,10.34
